	V1	V2
188	Aqu2.1.00030_001	NA
189	Aqu2.1.00036_001	NA
190	Aqu2.1.00039_001	NA
191	Aqu2.1.00045_001	NA
192	Aqu2.1.00048_001	NA
193	Aqu2.1.00049_001	NA
194	Aqu2.1.00052_001	NA
195	Aqu2.1.00055_001	NA
196	Aqu2.1.00064_001	NA
197	Aqu2.1.00065_001	NA
198	Aqu2.1.00070_001	NA
199	Aqu2.1.00085_001	NA
200	Aqu2.1.00087_001	NA
201	Aqu2.1.00088_001	NA
202	Aqu2.1.00094_001	NA
203	Aqu2.1.00095_001	NA
204	Aqu2.1.00096_001	NA
205	Aqu2.1.00098_001	NA
206	Aqu2.1.00099_001	NA
207	Aqu2.1.00100_001	NA
208	Aqu2.1.00102_001	NA
209	Aqu2.1.00117_001	NA
210	Aqu2.1.00127_001	NA
211	Aqu2.1.00129_001	NA
212	Aqu2.1.00131_001	NA
213	Aqu2.1.00132_001	NA
214	Aqu2.1.00134_001	NA
215	Aqu2.1.00138_001	NA
216	Aqu2.1.00140_001	NA
217	Aqu2.1.00141_001	NA
218	Aqu2.1.00150_001	NA
219	Aqu2.1.00151_001	NA
220	Aqu2.1.00153_001	NA
221	Aqu2.1.00165_001	NA
222	Aqu2.1.00166_001	NA
223	Aqu2.1.00172_001	NA
224	Aqu2.1.00178_001	NA
225	Aqu2.1.00194_001	NA
226	Aqu2.1.00195_001	NA
227	Aqu2.1.00198_001	NA
228	Aqu2.1.00200_001	NA
229	Aqu2.1.00202_001	NA
230	Aqu2.1.00203_001	NA
231	Aqu2.1.00206_001	NA
232	Aqu2.1.00207_001	NA
233	Aqu2.1.00217_001	NA
234	Aqu2.1.00221_001	NA
235	Aqu2.1.00229_001	NA
236	Aqu2.1.00235_001	NA
237	Aqu2.1.00238_001	NA
238	Aqu2.1.00239_001	NA
239	Aqu2.1.00243_001	NA
240	Aqu2.1.00245_001	NA
241	Aqu2.1.00247_001	NA
242	Aqu2.1.00253_001	NA
243	Aqu2.1.00256_001	NA
244	Aqu2.1.00257_001	NA
245	Aqu2.1.00258_001	NA
246	Aqu2.1.00259_001	NA
247	Aqu2.1.00260_001	NA
248	Aqu2.1.00266_001	NA
249	Aqu2.1.00281_001	NA
250	Aqu2.1.00291_001	NA
251	Aqu2.1.00301_001	NA
252	Aqu2.1.00310_001	NA
253	Aqu2.1.00316_001	NA
254	Aqu2.1.00317_001	NA
255	Aqu2.1.00319_001	NA
256	Aqu2.1.00322_001	NA
257	Aqu2.1.00324_001	NA
258	Aqu2.1.00327_001	NA
259	Aqu2.1.00328_001	NA
260	Aqu2.1.00329_001	NA
261	Aqu2.1.00330_001	NA
262	Aqu2.1.00348_001	NA
263	Aqu2.1.00368_001	NA
264	Aqu2.1.00372_001	NA
265	Aqu2.1.00373_001	NA
266	Aqu2.1.00380_001	NA
267	Aqu2.1.00383_001	NA
268	Aqu2.1.00390_001	NA
269	Aqu2.1.00394_001	NA
270	Aqu2.1.00406_001	NA
271	Aqu2.1.00411_001	NA
272	Aqu2.1.00419_001	NA
273	Aqu2.1.00421_001	NA
274	Aqu2.1.00423_001	NA
275	Aqu2.1.00432_001	NA
276	Aqu2.1.00438_001	NA
277	Aqu2.1.00439_001	NA
278	Aqu2.1.00441_001	NA
279	Aqu2.1.00447_001	NA
280	Aqu2.1.00452_001	NA
281	Aqu2.1.00455_001	NA
282	Aqu2.1.00460_001	NA
283	Aqu2.1.00466_001	NA
284	Aqu2.1.00474_001	NA
285	Aqu2.1.00477_001	NA
286	Aqu2.1.00488_001	NA
287	Aqu2.1.00489_001	NA
288	Aqu2.1.00491_001	NA
289	Aqu2.1.00495_001	NA
290	Aqu2.1.00498_001	NA
291	Aqu2.1.00506_001	NA
292	Aqu2.1.00514_001	NA
293	Aqu2.1.00516_001	NA
294	Aqu2.1.00517_001	NA
295	Aqu2.1.00521_001	NA
296	Aqu2.1.00523_001	NA
297	Aqu2.1.00525_001	NA
298	Aqu2.1.00528_001	NA
299	Aqu2.1.00532_001	NA
300	Aqu2.1.00536_001	NA
301	Aqu2.1.00539_001	NA
302	Aqu2.1.00541_001	NA
303	Aqu2.1.00547_001	NA
304	Aqu2.1.00548_001	NA
305	Aqu2.1.00554_001	NA
306	Aqu2.1.00556_001	NA
307	Aqu2.1.00566_001	NA
308	Aqu2.1.00576_001	NA
309	Aqu2.1.00578_001	NA
310	Aqu2.1.00585_001	NA
311	Aqu2.1.00587_001	NA
312	Aqu2.1.00591_001	NA
313	Aqu2.1.00594_001	NA
314	Aqu2.1.00595_001	NA
315	Aqu2.1.00603_001	NA
316	Aqu2.1.00607_001	NA
317	Aqu2.1.00610_001	NA
318	Aqu2.1.00623_001	NA
319	Aqu2.1.00630_001	NA
320	Aqu2.1.00631_001	NA
321	Aqu2.1.00635_001	NA
322	Aqu2.1.00636_001	NA
323	Aqu2.1.00662_001	NA
324	Aqu2.1.00666_001	NA
325	Aqu2.1.00671_001	NA
326	Aqu2.1.00674_001	NA
327	Aqu2.1.00686_001	NA
328	Aqu2.1.00691_001	NA
329	Aqu2.1.00692_001	NA
330	Aqu2.1.00699_001	NA
331	Aqu2.1.00701_001	NA
332	Aqu2.1.00702_001	NA
333	Aqu2.1.00705_001	NA
334	Aqu2.1.00706_001	NA
335	Aqu2.1.00711_001	NA
336	Aqu2.1.00719_001	NA
337	Aqu2.1.00720_001	NA
338	Aqu2.1.00723_001	NA
339	Aqu2.1.00733_001	NA
340	Aqu2.1.00745_001	NA
341	Aqu2.1.00752_001	NA
342	Aqu2.1.00753_001	NA
343	Aqu2.1.00754_001	NA
344	Aqu2.1.00757_001	NA
345	Aqu2.1.00758_001	NA
346	Aqu2.1.00762_001	NA
347	Aqu2.1.00766_001	NA
348	Aqu2.1.00767_001	NA
349	Aqu2.1.00769_001	NA
350	Aqu2.1.00772_001	NA
351	Aqu2.1.00777_001	NA
352	Aqu2.1.00782_001	NA
353	Aqu2.1.00785_001	NA
354	Aqu2.1.00791_001	NA
355	Aqu2.1.00796_001	NA
356	Aqu2.1.00813_001	NA
357	Aqu2.1.00816_001	NA
358	Aqu2.1.00822_001	NA
359	Aqu2.1.00827_001	NA
360	Aqu2.1.00828_001	NA
361	Aqu2.1.00830_001	NA
362	Aqu2.1.00837_001	NA
363	Aqu2.1.00843_001	NA
364	Aqu2.1.00845_001	NA
365	Aqu2.1.00847_001	NA
366	Aqu2.1.00849_001	NA
367	Aqu2.1.00852_001	NA
368	Aqu2.1.00853_001	NA
369	Aqu2.1.00855_001	NA
370	Aqu2.1.00856_001	NA
371	Aqu2.1.00862_001	NA
372	Aqu2.1.00867_001	NA
373	Aqu2.1.00870_001	NA
374	Aqu2.1.00876_001	NA
375	Aqu2.1.00880_001	NA
376	Aqu2.1.00881_001	NA
377	Aqu2.1.00890_001	NA
378	Aqu2.1.00891_001	NA
379	Aqu2.1.00896_001	NA
380	Aqu2.1.00898_001	NA
381	Aqu2.1.00900_001	NA
382	Aqu2.1.00902_001	NA
383	Aqu2.1.00907_001	NA
384	Aqu2.1.00909_001	NA
385	Aqu2.1.00914_001	NA
386	Aqu2.1.00916_001	NA
387	Aqu2.1.00922_001	NA
388	Aqu2.1.00923_001	NA
389	Aqu2.1.00926_001	NA
390	Aqu2.1.00930_001	NA
391	Aqu2.1.00931_001	NA
392	Aqu2.1.00936_001	NA
393	Aqu2.1.00940_001	NA
394	Aqu2.1.00942_001	NA
395	Aqu2.1.00950_001	NA
396	Aqu2.1.00952_001	NA
397	Aqu2.1.00953_001	NA
398	Aqu2.1.00957_001	NA
399	Aqu2.1.00958_001	NA
400	Aqu2.1.00961_001	NA
401	Aqu2.1.00963_001	NA
402	Aqu2.1.00966_001	NA
403	Aqu2.1.00967_001	NA
404	Aqu2.1.00968_001	NA
405	Aqu2.1.00975_001	NA
406	Aqu2.1.00982_001	NA
407	Aqu2.1.00983_001	NA
408	Aqu2.1.00984_001	NA
409	Aqu2.1.00985_001	NA
410	Aqu2.1.00987_001	NA
411	Aqu2.1.00998_001	NA
412	Aqu2.1.01001_001	NA
413	Aqu2.1.01008_001	NA
